kk	file	sample	muts_caveman	c20_genome	muts	corr_muts	c20_nanoseq_genome	obs_rate	corr_rate	donor	age	muts_per_cell
RESULT	CB002_1_NV.csv	PD45517b_lo0125	36	4506058624	11	13.40743	1201825710	9.152741e-09	1.115588e-08	CB002_1_NV.csv	0	63.8412291456108
RESULT	CB002_1_NV.csv	PD45517b_lo0126	72	2916603522	9	8.936349	768645628	1.170891e-08	1.16261e-08	CB002_1_NV.csv	0	66.532134996951
RESULT	CB002_1_NV.csv	PD45517b_lo0127	59	2600486244	5	6.389513	684910712	7.300222e-09	9.328972e-09	CB002_1_NV.csv	0	53.3864687631085
RESULT	CB002_1_NV.csv	PD45517b_lo0128	55	3116758720	8	8.058733	822241126	9.729506e-09	9.800936e-09	CB002_1_NV.csv	0	56.0873549211238
RESULT	CB002_1_NV.csv	PD45517b_lo0129	49	3053329132	6	6.57476	791830698	7.577377e-09	8.303239e-09	CB002_1_NV.csv	0	47.5165548257755
RESULT	CB002_1_NV.csv	PD45517b_lo0130	48	3495164002	8	8.397022	922469474	8.672374e-09	9.102764e-09	CB002_1_NV.csv	0	52.0919588936432
RESULT	CB002_1_NV.csv	PD45517b_lo0131	63	3988137752	16	19.23964	1042735814	1.534425e-08	1.845112e-08	CB002_1_NV.csv	0	105.589355560759
RESULT	CB002_1_NV.csv	PD45517b_lo0132	74	3707025488	12	12.32448	975236688	1.230471e-08	1.263743e-08	CB002_1_NV.csv	0	72.3196255644213
RESULT	CB002_1_NV.csv	PD45517b_lo0133	58	2466718452	6	7.414887	650106544	9.229256e-09	1.140565e-08	CB002_1_NV.csv	0	65.2705761629415
RESULT	CB002_1_NV.csv	PD45517b_lo0134	55	2764795406	6	6.33409	727469312	8.247771e-09	8.70702e-09	CB002_1_NV.csv	0	49.8272533404282
RESULT	CB002_1_NV.csv	PD45517b_lo0135	70	3552261622	13	13.95534	943724818	1.37752e-08	1.478751e-08	CB002_1_NV.csv	0	84.6237871331541
RESULT	CB002_1_NV.csv	PD45517b_lo0137	54	2582630174	9	8.842945	673792766	1.335722e-08	1.312413e-08	CB002_1_NV.csv	0	75.1048407357183
RESULT	CB002_1_NV.csv	PD45517b_lo0140	43	2829503480	5	5.404717	753901604	6.632165e-09	7.168995e-09	CB002_1_NV.csv	0	41.0256700985254
RESULT	CB002_1_NV.csv	PD45517b_lo0142	78	3137569990	14	14.89114	837991150	1.670662e-08	1.777004e-08	CB002_1_NV.csv	0	101.691771116816
RESULT	CB002_1_NV.csv	PD45517b_lo0143	51	2490040968	6	7.274615	664356264	9.031299e-09	1.094987e-08	CB002_1_NV.csv	0	62.6623054196217
RESULT	CB002_1_NV.csv	PD45517b_lo0144	59	2909349350	8	8.935635	774693270	1.032667e-08	1.153442e-08	CB002_1_NV.csv	0	66.0074821781622
RESULT	CB002_1_NV.csv	PD45517b_lo0146	55	2598565764	7	7.857501	691662492	1.012054e-08	1.136031e-08	CB002_1_NV.csv	0	65.0111110800021
RESULT	CB002_1_NV.csv	PD45517b_lo0147	60	3538284752	13	14.43882	945746094	1.374576e-08	1.526712e-08	CB002_1_NV.csv	0	87.3684286953192
RESULT	CB002_1_NV.csv	PD45517b_lo0148	53	2750421310	8	8.526364	732396222	1.092305e-08	1.164174e-08	CB002_1_NV.csv	0	66.6216372884634
RESULT	CB002_1_NV.csv	PD45517b_lo0149	45	4072235154	13	14.72066	1091177764	1.191373e-08	1.349062e-08	CB002_1_NV.csv	0	77.2021358007042
RESULT	CB002_1_NV.csv	PD45517b_lo0150	52	2865356902	7	6.964909	753950852	9.284425e-09	9.237882e-09	CB002_1_NV.csv	0	52.8651923095366
RESULT	CB002_1_NV.csv	PD45517b_lo0166	49	3475473922	11	12.973	928772888	1.184358e-08	1.396789e-08	CB002_1_NV.csv	0	79.9333863550599
RESULT	CB002_1_NV.csv	PD45517b_lo0167	38	3456329390	4	4.662485	917840690	4.358055e-09	5.079842e-09	CB002_1_NV.csv	0	29.0701726036402
